locale,key,review_priority,source_text,draft_translation,source_sha256,translation_sha256,status,reviewer_name,review_date,decision,notes
pa,nav.home,language-and-usability,Home,ਮੁੱਖ ਪੰਨਾ,3a78695388b38b5cceefaf6796b0137877514593543b91af2752d5a17e3d736c,ea1d61ec331b6a4797448b0dfb4515b08e65988897d1035002999be45b3b74b9,draft,,,,
pa,nav.rapid,language-and-usability,Rapid Resolution,Rapid Resolution,b187f5b3ecddd0a9de94688e0f3df7ba1699c3912b8450524631dea23e33887e,b187f5b3ecddd0a9de94688e0f3df7ba1699c3912b8450524631dea23e33887e,draft,,,,
pa,nav.howItWorks,language-and-usability,How it works,ਇਹ ਕਿਵੇਂ ਕੰਮ ਕਰਦਾ ਹੈ,9c870aa6e5e93270170d5a81277ad3e623afe8d4efd186d3e28f3d2b646d52e6,d197059919abe43615624517d20d6853e63a9520c0514b705c35a4f9cae02aad,draft,,,,
pa,nav.faq,language-and-usability,FAQ,ਆਮ ਸਵਾਲ,dbc468a14b601d5d9240aeb72b9fcd2f8aed2f4e30932876edf8d16ec313846b,82f46eb6a0013f94d980a35b723b300e95be9d42c58e149337ed46ccfdb04d4c,draft,,,,
pa,nav.contact,language-and-usability,Contact,ਸੰਪਰਕ,2b5c3d26721ae9c350cf3009318b626f0fc8a90b4a2ac0ca8099c05aa849282e,19b80623b464428867f3d23e747c654bdbe61f5180bc6b226225e6ff21f2759d,draft,,,,
pa,nav.terms,language-and-usability,Terms of Service,ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ,4afa55bf7aec7ddc5dfb904271f881be278e7629ce258675bf4b62f460017abb,4d75af0fd26dc2108ebf639f8d6ebcba9b63c5576f0dd6963fc95ad60f55b726,draft,,,,
pa,nav.start,language-and-usability,Start with your ticket,ਆਪਣੇ ਟਿਕਟ ਤੋਂ ਸ਼ੁਰੂ ਕਰੋ,2c56895797789029dd67000776843b675c64f2a21d8d7feeeb49189266d6df43,9b409b7b8c147fc1dd9cd6be18edad042c776bcdffa4e50ccc56d0da3df16b07,draft,,,,
pa,nav.menu,language-and-usability,Open navigation,ਨੈਵੀਗੇਸ਼ਨ ਮੀਨੂ ਖੋਲ੍ਹੋ,0ed77fd2619ba8ab3e1cce72c8e61d887d551ca1220164b88ab1aa66bba7177d,f8075781fdbffd5592f5fada9b780c793f7eb6e829f058a9e58f02c7d6f0c12a,draft,,,,
pa,common.brand,language-and-usability,Fabsy,Fabsy,1e32a2d78338c8f9aee12cf16a9075ef30f914394bae9f2817d8e8b5cd768837,1e32a2d78338c8f9aee12cf16a9075ef30f914394bae9f2817d8e8b5cd768837,draft,,,,
pa,common.serviceName,language-and-usability,Rapid Resolution,Rapid Resolution,b187f5b3ecddd0a9de94688e0f3df7ba1699c3912b8450524631dea23e33887e,b187f5b3ecddd0a9de94688e0f3df7ba1699c3912b8450524631dea23e33887e,draft,,,,
