query_id,query,theme,intent,funnel,recommended_format,recommended_url,target_status,new_page_decision,cannibalization_risk,commercial_relevance,legal_risk,priority,evidence_status,volume_status,notes
Q001,Alberta traffic ticket,core-process,informational,TOFU,hub,/hubs/alberta-tickets-101,existing,no-existing-page,medium,medium,medium,high,planned_not_observed,unmeasured,Broad discovery query
Q002,how to fight a traffic ticket in Alberta,core-process,informational,MOFU,guide,/content/fight-traffic-ticket-alberta,existing,no-existing-page,high,high,high,high,planned_not_observed,unmeasured,Canonical dispute-process intent
Q003,how to dispute a traffic ticket in Alberta,core-process,informational,MOFU,guide,/content/fight-traffic-ticket-alberta,existing,no-existing-page,high,high,high,high,planned_not_observed,unmeasured,Keep on canonical dispute guide
Q004,what to do after getting a traffic ticket in Alberta,core-process,informational,TOFU,guide,/content/fight-traffic-ticket-alberta,existing,no-existing-page,medium,medium,medium,high,planned_not_observed,unmeasured,Answer deadline and ticket-type first
Q005,is it worth fighting a traffic ticket in Alberta,decision-support,commercial-investigation,MOFU,subsection,/content/fight-traffic-ticket-alberta,planned_subsection,no-add-subsection,high,high,high,high,planned_not_observed,unmeasured,Avoid outcome promises
Q006,should I fight my Alberta traffic ticket,decision-support,commercial-investigation,MOFU,subsection,/content/fight-traffic-ticket-alberta,planned_subsection,no-add-subsection,high,high,high,high,planned_not_observed,unmeasured,Use cost and consequence factors
Q007,can an Alberta traffic ticket be reduced,core-process,informational,MOFU,FAQ,/content/fight-traffic-ticket-alberta,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,Explain prosecutor review without guarantees
Q008,traffic ticket help Alberta,commercial,commercial-investigation,BOFU,service-plus-guide,/rapid-resolution,existing,no-existing-page,low,high,high,high,planned_not_observed,unmeasured,Keep service scope explicit
Q009,traffic ticket agent Alberta,commercial,commercial-investigation,BOFU,service-page,/rapid-resolution,existing,no-existing-page,low,high,high,high,planned_not_observed,unmeasured,Distinguish agent from lawyer
Q010,traffic ticket lawyer vs agent Alberta,commercial,comparative,BOFU,comparison-subsection,/hubs/alberta-tickets-101,planned_subsection,no-add-subsection,medium,high,high,medium,planned_not_observed,unmeasured,Require scope and representation review
Q011,Alberta traffic ticket response deadline,deadlines,informational,MOFU,hub,/hubs/court-options-and-deadlines,existing,no-existing-page,low,high,high,high,planned_not_observed,unmeasured,Do not state a universal number of days
Q012,respond by date Alberta traffic ticket,deadlines,informational,MOFU,FAQ,/hubs/court-options-and-deadlines,existing,no-existing-page,low,high,high,high,planned_not_observed,unmeasured,Ticket controls the deadline
Q013,missed traffic ticket deadline Alberta,deadlines,urgent,BOFU,urgent-subsection,/hubs/court-options-and-deadlines,planned_subsection,no-add-subsection,low,high,high,high,planned_not_observed,unmeasured,Avoid universal remedy claims
Q014,missed traffic court date Alberta,deadlines,urgent,BOFU,urgent-subsection,/hubs/court-options-and-deadlines,planned_subsection,no-add-subsection,low,high,high,high,planned_not_observed,unmeasured,Separate conviction-in-absence and warrant possibilities
Q015,Traffic Tickets Digital Service Alberta,process,informational,TOFU,FAQ,/hubs/court-options-and-deadlines,existing,no-existing-page,low,medium,medium,high,planned_not_observed,unmeasured,Link the official service
Q016,request prosecutor review Alberta traffic ticket,process,transactional,BOFU,guide-section,/content/fight-traffic-ticket-alberta,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,Distinguish review from trial
Q017,plead not guilty traffic ticket Alberta,process,transactional,BOFU,guide-section,/content/fight-traffic-ticket-alberta,existing,no-existing-page,medium,high,high,high,planned_not_observed,unmeasured,Use current official channels
