record_id,source,verification_status,window_start,window_end,scope,filter_or_cohort,table_rows,clicks,impressions,ctr_percent,average_position,pages_with_click,pages_zero_clicks,pages_ge_10_impressions,pages_ge_100_impressions,pages_ge_1000_impressions,notes
GSC-WEB-OVERALL,Google Search Console Performance UI,manually_verified_ui_snapshot,2025-10-01,2026-08-29,whole-site,Search type Web,,645,70457,0.9,15.8,,,,,,Chart-level total; do not replace with dimensional row sums
GSC-WEB-CONTENT,Google Search Console Performance UI plus authenticated Pages.csv,manually_verified_ui_snapshot,2025-10-01,2026-08-29,/content/,Page URL contains /content/,623,497,62780,0.8,18.1,108,515,267,58,14,Filtered table can be partial; missing manifest URLs are unknown rather than proven zero
GSC-WEB-CONTENT-TOP25,Google Search Console Performance UI,manually_verified_ui_snapshot,2025-10-01,2026-08-29,/content/,top 25 pages,25,375,,,,,,,,,75.5% of /content/ clicks
GSC-WEB-CONTENT-TOP100,Google Search Console Performance UI,manually_verified_ui_snapshot,2025-10-01,2026-08-29,/content/,top 100 pages,100,489,,,,,,,,,98.4% of /content/ clicks
GSC-WEB-PHOTO-RADAR,Google Search Console filtered page table,manually_verified_ui_snapshot,2025-10-01,2026-08-29,/content/,photo-radar,45,107,14418,,,,,,,,,Cohort label is URL-pattern based
GSC-WEB-MULTIPLE-TICKETS,Google Search Console filtered page table,manually_verified_ui_snapshot,2025-10-01,2026-08-29,/content/,multiple-tickets,58,49,9336,,,,,,,,,Cohort label is URL-pattern based
GSC-WEB-COMMERCIAL-DRIVER,Google Search Console filtered page table,manually_verified_ui_snapshot,2025-10-01,2026-08-29,/content/,commercial-driver,34,12,1808,,,,,,,,,Cohort label is URL-pattern based
GSC-WEB-NEW-DRIVER,Google Search Console filtered page table,manually_verified_ui_snapshot,2025-10-01,2026-08-29,/content/,new-driver,50,31,3249,,,,,,,,,Cohort label is URL-pattern based
GSC-WEB-FIRST-TIME,Google Search Console filtered page table,manually_verified_ui_snapshot,2025-10-01,2026-08-29,/content/,first-time-offender,59,32,2862,,,,,,,,,Cohort label is URL-pattern based
GSC-WEB-WEATHER,Google Search Console filtered page table,manually_verified_ui_snapshot,2025-10-01,2026-08-29,/content/,weather-conditions,49,6,1185,,,,,,,,,Cohort label is URL-pattern based
GSC-WEB-OFFICER-ERROR,Google Search Console filtered page table,manually_verified_ui_snapshot,2025-10-01,2026-08-29,/content/,officer-error,42,5,385,,,,,,,,,Cohort label is URL-pattern based
GSC-WEB-OUT-OF-PROVINCE,Google Search Console filtered page table,manually_verified_ui_snapshot,2025-10-01,2026-08-29,/content/,out-of-province,42,9,956,,,,,,,,,Cohort label is URL-pattern based
GSC-AI-CHART,Google Search Console Generative AI Features beta,manually_verified_ui_snapshot,2026-05-30,2026-08-29,whole-site,Search type Web,131,,2023,,,,,,,,,Chart-level total across 131 reported pages
GSC-AI-PAGE-ROWS,Google Search Console Generative AI Features Pages.csv,authenticated_export_observed,2026-05-30,2026-08-29,whole-site,page-dimensional rows,131,,2252,,,,,,,,,Non-additive row sum can count multiple Fabsy URLs in a result and must not replace chart total
GSC-AI-CONTENT-ROWS,Google Search Console Generative AI Features Pages.csv,authenticated_export_observed,2026-05-30,2026-08-29,/content/,page-dimensional rows,86,,1588,,,,,,,,,Observed URL evidence used as a scorer preservation guardrail
GSC-AI-BLOG-ROWS,Google Search Console Generative AI Features Pages.csv,authenticated_export_observed,2026-05-30,2026-08-29,/blog/,page-dimensional rows,33,,469,,,,,,,,,Observed page-row sum not a chart-level total
