"id","use_class","organization","url","rationale","contact_or_resource_path","priority","risk_fit_notes","source_verified_date"
"P01","outreach_candidate","Centre for Public Legal Education Alberta (CPLEA)","https://www.cplea.ca/about-us/","CPLEA's mission is to help Albertans understand their legal rights and obligations, making one source-current plain-language traffic-ticket guide a direct topical fit.","Use the contact form described at https://navigator.cplea.ca/about-cplea/ and ask that a resource/editorial team member independently assess one reviewed guide.","High","Fabsy is a for-profit service and CPLEA may prefer its own nonprofit resources. Disclose that status, request editorial review rather than endorsement, and do not contact CPLEA and LawNow simultaneously; they share a parent organization. Hold outreach until the linked page has recorded qualified human review.","2026-09-01"
"P02","outreach_candidate","LawNow Magazine (published by CPLEA)","https://www.lawnow.org/about/","LawNow publishes credible, readable legal information for non-lawyers and has an editorial channel for courts and the Canadian legal system.","Pitch a topic to editor@cplea.ca; the current contributor terms are at https://navigator.cplea.ca/terms-of-use/.","High","This is an editorial pitch, not a backlink request. LawNow's May 2026 terms require submitted articles to be original and not AI-created; do not turn these AI-assisted drafts into an article submission. Use a qualified human author, follow editorial terms, and let the editor decide whether any source or bio link belongs.","2026-09-01"
"P03","outreach_candidate","Student Legal Assistance (Calgary)","https://slacalgary.com/traffic-bylaw/","Its traffic/bylaw practice expressly covers speeding and trial steps, so its caseworkers and clients overlap closely with Fabsy's educational audience.","Use the general office number on https://slacalgary.com/contact/ and ask to be routed to the Executive Director or student leadership responsible for education/resources; do not use the client appointment form for outreach.","High","SLA already provides supervised pro-bono help and its material should take precedence for eligible clients. Ask whether the guide is a useful complementary resource; never imply a referral arrangement, seek client data, or ask SLA to recommend a paid service.","2026-09-01"
"P04","outreach_candidate","Student Legal Services of Edmonton (SLS)","https://www.slsedmonton.com/criminal-law-topics","SLS publishes lawyer-supervised legal education, assists with regulatory/traffic matters, and currently marks its Traffic Offences pamphlet as being updated.","Use the Legal Education & Reform Project contact form listed at https://www.slsedmonton.com/contact; the homepage currently says services resume September 21, 2026, so recheck before contacting.","High","Offer current-source notes or a complementary reviewed guide, not a replacement for SLS material. Do not copy its pamphlets or contact a client-service line for marketing. Its website warns that not every pamphlet has lawyer approval; independently verify anything Fabsy cites.","2026-09-01"
"P05","outreach_candidate","BearPaw Media and Education (Native Counselling Services of Alberta)","https://bearpawlegalresources.ca/","BearPaw is an Indigenous-led Alberta public legal education publisher whose Adult Justice resources expressly include tickets and fines.","Use the general inquiry address bearpawlegal@ncsa.ca shown on the homepage and ask only whether the education team sees a useful, complementary role for a reviewed general Alberta guide.","High","Do not imply Indigenous cultural authority, endorsement, or partnership. Lead by citing and elevating BearPaw's own resources where relevant; ask for guidance rather than a link, and accept no response as a no. A general commercial guide must not displace Indigenous-led information.","2026-09-01"
"P06","outreach_candidate","Elizabeth Fry Society of Calgary","https://elizabethfrycalgary.ca/opportunities-to-engage-and-support/volunteer/","Its court volunteers support people with traffic and bylaw matters using legal-process information and resource referrals, creating a concrete resource-review use case.","Use https://elizabethfrycalgary.ca/contact-us/ and ask reception to route a non-client resource question to Court Programs or Legal Advocacy.","High","The organization serves people facing financial and systemic barriers. Do not ask it to endorse or steer clients to a paid service; offer a reviewed guide for independent assessment and clearly identify free/pro-bono alternatives on Fabsy's page.","2026-09-01"
"P07","outreach_candidate","John Howard Society of Alberta","https://www.johnhoward.ab.ca/contact-us/","The provincial office states that its primary focus includes public legal education, which may make a carefully scoped court-process explainer relevant.","Use the contact form on the cited page and select/request the public legal education or administration team, not a local front-line service.","Medium","Its main focus is criminal justice rather than ordinary traffic tickets, so fit is narrower. Ask for an accuracy/resource assessment only; do not present Fabsy as a justice-sector partner or ask local service offices for commercial referrals.","2026-09-01"
"P08","outreach_candidate","Calgary Legal Guidance (CLG)","https://clg.ab.ca/index.php/legal-resources/","CLG provides public legal information, justice navigation, and a curated Legal Resources page; its Community Court work also touches bylaw matters.","Use the general contact route at https://clg.ab.ca/index.php/contact-us/ and ask which staff member maintains public legal education or resource links.","Medium","Traffic tickets are not a headline CLG service and its low-income clients may be better served by free help. Disclose Fabsy's paid/commercial status, avoid intake channels, and request independent inclusion only if the guide fills a verified gap.","2026-09-01"
"P09","outreach_candidate","Community Legal Clinic (Central Alberta, Lloydminster, Medicine Hat and Fort McMurray)","https://communitylegalclinic.net/","The clinic provides public legal information and advice across several Alberta regions, and current third-party rights resources identify traffic/bylaw among its subject areas.","Use the general contact button/information on the homepage or info@communitylegalclinic.net and ask for the public legal education/resource owner, not client intake.","Medium","The primary site does not foreground traffic in its current homepage copy, so confirm current scope before pitching. Never seek a paid-service referral from a low-income clinic; offer one reviewed province-wide guide for optional resource-page evaluation.","2026-09-01"
"P10","outreach_candidate","Lethbridge Legal Guidance","https://www.lethbridgelegalguidance.ca/","It offers free public legal education in Southern Alberta and maintains a resource section, giving a regional audience for a province-wide traffic-process guide.","Use the general contact form at https://www.lethbridgelegalguidance.ca/contact-us and label the message as a resource/editorial question, not a request for client help.","Medium","Its listed education topics do not currently foreground traffic law. Ask whether the topic is within scope before sending a link; do not request endorsement or imply that a commercial provider is part of the clinic.","2026-09-01"
"P11","outreach_candidate","Edmonton Immigrant Services Association (EISA)","https://www.eisa-edmonton.org/services/settlement-services/community-settlement-services/","EISA provides newcomers with legal-system orientation, community referrals, and multilingual settlement support, so a plain-language ticket-process resource may answer a recurring practical question.","Use https://www.eisa-edmonton.org/contact-us/ and ask for the Community Settlement Services or Library Settlement Program resource lead.","Medium","Fabsy's legal articles are currently English-only. Do not describe the guide as multilingual or reviewed in another language; distinguish the translated service overview from legal content. Ask settlement staff to assess accessibility and relevance without soliciting client referrals.","2026-09-01"
"P12","outreach_candidate","Law Matters (Canadian Bar Association — Alberta Branch)","https://www.lawmatters.cba-alberta.org/en-ca/contact-us","Law Matters accepts article ideas and reaches Alberta legal professionals, offering an earned editorial route for a neutral analysis of traffic-court evidence literacy or public legal information gaps.","Use the article-submission form on the cited page; pitch the topic and proposed human author's truthful credentials, not Fabsy's preferred link.","Medium","Audience fit is professional rather than consumer. Submit only if a qualified human author can truthfully support the analysis and comply with editorial policy. No promotional article, outcome claims, disguised advertorial, or expectation that Fabsy will be linked.","2026-09-01"
"A01","cite_only_authority","Alberta Court of Justice — Traffic Court","https://albertacourts.ca/cj/areas-of-law/traffic","The court's page is the primary procedural source for the forum, ticket response, official Traffic Tickets Service, forms, and court locations.","Cite the exact relevant section and link users to the official service or form; recheck the page and the ticket-specific instructions before publication.","Core citation","Do not solicit a backlink, endorsement, or resource listing from the court. Never use court branding or wording that implies affiliation. The individual ticket and current court directions control.","2026-09-01"
"A02","cite_only_authority","Government of Alberta — Fine payment and ticket response","https://www.alberta.ca/fine-payment","This official page explains Traffic Tickets Digital Service, fine-payment consequences, current fine sources, and where to get ticket help.","Cite the relevant ticket-response or fine section and link to the official digital service when giving process instructions.","Core citation","Do not send commercial backlink outreach to the ministry or Court and Justice Services. Treat the page as authority, not as an endorsement; municipal and bylaw tickets may follow different instructions.","2026-09-01"
"A03","cite_only_authority","Government of Alberta — Demerit driving suspension","https://www.alberta.ca/demerit-driving-suspension","This official page supports claims about conviction dates, demerit thresholds, suspension periods, reviews, and restricted-licence context.","Cite the exact subsection relevant to the driver type and cross-check the current Demerit Point Program and Service of Documents Regulation.","Core citation","Do not solicit a link. Avoid turning general thresholds into a prediction for an individual; ticket type, conviction status, licence class, record, and offence date matter.","2026-09-01"
"A04","cite_only_authority","Government of Alberta — Alberta Crown Prosecution Service","https://www.alberta.ca/alberta-crown-prosecution-service","The official page identifies the Advanced Projects and Traffic Office and describes prosecutor-review functions available through the Traffic Ticket Digital Service.","Cite only the specific institutional role or service function and link users to the official service rather than a marketing page.","Supporting citation","Do not ask prosecutors or the Crown for a backlink, quote, content review, or referral. Never imply that a prosecutor will negotiate, reduce, or withdraw a particular ticket.","2026-09-01"
"A05","cite_only_authority","Alberta King's Printer","https://www.alberta.ca/alberta-kings-printer","The King's Printer is the official publisher of Alberta laws and is the correct source class for current Acts, regulations, and citation conventions.","Use the Laws Online Catalogue and cite the exact Act/regulation, section, consolidation/effective date, and retrieval date; relevant direct PDFs include https://kings-printer.alberta.ca/documents/Acts/T06.pdf and https://kings-printer.alberta.ca/documents/Acts/P34.pdf.","Core citation","Do not solicit a marketing link. A disclaimer does not cure an incorrect statement of law; recheck effective dates and amendments before every substantive refresh.","2026-09-01"
"A06","cite_only_authority","Canadian Legal Information Institute (CanLII)","https://www.canlii.org/en/ab/laws/stat/rsa-2000-c-t-6/","CanLII is a credible nonprofit legal database for searchable Alberta legislation and cited court decisions, including the Traffic Safety Act and evidence authorities.","Use stable case/statute URLs, the neutral citation, and the currency note displayed on the exact page; prefer King's Printer for official Alberta legislation where practicable.","Supporting citation","Do not solicit a commercial backlink or suggest CanLII endorses Fabsy. Check currency on every use and read the full decision before paraphrasing a holding.","2026-09-01"
"A07","cite_only_authority","Alberta Law Libraries — Motor Vehicle Law research guide","https://lawlibrary.ab.ca/research-guides/motor-vehicle-law/","The public law-library guide curates Alberta motor-vehicle statutes, regulations, research tools, and legal-education resources, making it a strong research and outbound-citation source.","Use the guide to locate primary authority and direct readers to Ask a Law Librarian or public research services where appropriate.","Supporting citation","Treat as a research starting point; its page was last updated September 2025 and individual laws/resources may have changed. Do not ask a public law library to promote a commercial service or imply librarian validation.","2026-09-01"
"A08","cite_only_authority","Law Society of Alberta — Find a Lawyer","https://www.lawsociety.ab.ca/public/findalawyer/","The regulator's directory is the appropriate neutral referral for users who need to locate or verify an Alberta lawyer, including language and limited-scope filters.","Link users to the directory and accurately state that the Law Society does not recommend or endorse individual lawyers.","Supporting citation","Do not request listing changes, a backlink, approved-provider status, or endorsement for a for-profit traffic service. Do not scrape or repurpose directory data; the page restricts use to locating and contacting lawyers and verifying status.","2026-09-01"
